,id_materia,codigo,metodo,cluster,asignatura,titulacion
575,74121,CURSO_UTPL-TN-ABF007_18,AFFINITY-PROPAGATION,184,FINANZAS II,CONTABILIDAD Y AUDITORÍA
576,74537,CURSO_UTPL-TNICA001_18,AFFINITY-PROPAGATION,79,LEGISLACIÓN MERCANTIL Y SOCIETARIA,CONTABILIDAD Y AUDITORÍA
577,74546,CURSO_UTPL-TNICA010_18,AFFINITY-PROPAGATION,53,LEGISLACIÓN SOBRE CONTRATACIÓN PÚBLICA,CONTABILIDAD Y AUDITORÍA
578,74555,CURSO_PRE-TNIQ014_18,AFFINITY-PROPAGATION,291,QUÍMICA ORGÁNICA,BIOQUÍMICA Y FARMACIA
579,75891,CURSO_PRE-TNBIF084_18,AFFINITY-PROPAGATION,264,GESTIÓN PRODUCTIVA 1.2,BIOQUÍMICA Y FARMACIA
580,76137,CURSO_PRE-TNBIF109_18,AFFINITY-PROPAGATION,155,TRABAJO DE FIN DE CARRERA 4.1,BIOQUÍMICA Y FARMACIA
581,76524,CURSO_PRE-TNBIF090_18,AFFINITY-PROPAGATION,32,GESTIÓN PRODUCTIVA 2.1,BIOQUÍMICA Y FARMACIA
582,76763,CURSO_PRE-TNBIF047_18,AFFINITY-PROPAGATION,187,HEMATOLOGÍA,BIOQUÍMICA Y FARMACIA
583,77289,CURSO_PRE-TNBIF110_18,AFFINITY-PROPAGATION,154,TALLER PRÁCTICO INTRODUCTORIO,BIOQUÍMICA Y FARMACIA
584,77522,CURSO_PRE-TNBIF035_18,AFFINITY-PROPAGATION,238,QUÍMICA ANALÍTICA,BIOQUÍMICA Y FARMACIA
585,77808,CURSO_UTPL-TNIQ002_18,AFFINITY-PROPAGATION,293,FÍSICA PARA LAS CIENCIAS BIOLÓGICAS,BIOQUÍMICA Y FARMACIA
586,78437,CURSO_PRE-TNBIF111_18,AFFINITY-PROPAGATION,155,TRABAJO DE FIN DE CARRERA 4.2,BIOQUÍMICA Y FARMACIA
587,78788,CURSO_UTPL-TNIA001_18,AFFINITY-PROPAGATION,156,BOTÁNICA,BIOQUÍMICA Y FARMACIA
588,78994,CURSO_PRE-TNBIF048_18,AFFINITY-PROPAGATION,1,BIOQUÍMICA CLÍNICA,BIOQUÍMICA Y FARMACIA
589,79602,CURSO_PRE-TNBIF105_18,AFFINITY-PROPAGATION,157,GESTIÓN PRODUCTIVA 3.2,BIOQUÍMICA Y FARMACIA
590,79866,CURSO_PRE-TNBIF023_18,AFFINITY-PROPAGATION,158,ANATOMÍA FUNCIONAL,BIOQUÍMICA Y FARMACIA
591,79875,CURSO_PRE-TNBIF025_18,AFFINITY-PROPAGATION,178,HISTOLOGÍA,BIOQUÍMICA Y FARMACIA
592,80123,CURSO_PRE-TNBIF034_18,AFFINITY-PROPAGATION,1,BIOQUÍMICA II,BIOQUÍMICA Y FARMACIA
593,80404,CURSO_PRE-TNBIF101_18,AFFINITY-PROPAGATION,292,TOXICOLOGÍA,BIOQUÍMICA Y FARMACIA
594,80778,CURSO_PRE-TNBIF040_18,AFFINITY-PROPAGATION,159,FÍSICO QUÍMICA,BIOQUÍMICA Y FARMACIA
595,81449,CURSO_PRE-TNBIF100_18,AFFINITY-PROPAGATION,160,GESTIÓN PRODUCTIVA 3.1,BIOQUÍMICA Y FARMACIA
596,81682,CURSO_PRE-TNBIF053_18,AFFINITY-PROPAGATION,161,TECNOLOGÍA FARMACÉUTICA I,BIOQUÍMICA Y FARMACIA
597,81691,CURSO_PRE-TNBIF079_18,AFFINITY-PROPAGATION,90,GESTIÓN PRODUCTIVA 1.1,BIOQUÍMICA Y FARMACIA
598,81908,CURSO_PRE-TNBIF063_18,AFFINITY-PROPAGATION,300,GENÉTICA GENERAL,BIOQUÍMICA Y FARMACIA
599,82332,CURSO_UTPL-TNIQ003_18,AFFINITY-PROPAGATION,293,CÁLCULO PARA LAS CIENCIAS BIOLÓGICAS,BIOQUÍMICA Y FARMACIA
600,82598,CURSO_PRE-TNBIF088_18,AFFINITY-PROPAGATION,302,FISIOLOGÍA,BIOQUÍMICA Y FARMACIA
601,82821,CURSO_PRE-TNBIO002_18,AFFINITY-PROPAGATION,183,BIOLOGÍA CELULAR Y MOLECULAR II,BIOQUÍMICA Y FARMACIA
602,83173,CURSO_PRE-TNBIF036_18,AFFINITY-PROPAGATION,297,MICROBIOLOGÍA I,BIOQUÍMICA Y FARMACIA
603,83479,CURSO_PRE-TNBIF041_18,AFFINITY-PROPAGATION,297,MICROBIOLOGÍA II,BIOQUÍMICA Y FARMACIA
604,83816,CURSO_PRE-TNBIF042_18,AFFINITY-PROPAGATION,162,FITOQUÍMICA Y FARMACOGNOSIA,BIOQUÍMICA Y FARMACIA
605,84441,CURSO_PRE-TNBIF098_18,AFFINITY-PROPAGATION,297,MICROBIOLOGÍA CLÍNICA,BIOQUÍMICA Y FARMACIA
606,84803,CURSO_PRE-TNBIF095_18,AFFINITY-PROPAGATION,190,FARMACOLOGÍA II,BIOQUÍMICA Y FARMACIA
607,85142,CURSO_PRE-TNBIF112_18,AFFINITY-PROPAGATION,163,CULTIVOS CELULARES,BIOQUÍMICA Y FARMACIA
608,85554,CURSO_PRE-TNBIF091_18,AFFINITY-PROPAGATION,190,FARMACOLOGÍA I,BIOQUÍMICA Y FARMACIA
609,85865,CURSO_PRE-TNBIF049_18,AFFINITY-PROPAGATION,297,MICROBIOLOGÍA DE ALIMENTOS,BIOQUÍMICA Y FARMACIA
610,86121,CURSO_PRE-TNBIO001_18,AFFINITY-PROPAGATION,183,BIOLOGÍA CELULAR Y MOLECULAR I,BIOQUÍMICA Y FARMACIA
611,86424,CURSO_PRE-TNBIF094_18,AFFINITY-PROPAGATION,278,GESTIÓN PRODUCTIVA 2.2,BIOQUÍMICA Y FARMACIA
612,86640,CURSO_PRE-TNBIF028_18,AFFINITY-PROPAGATION,1,BIOQUÍMICA I,BIOQUÍMICA Y FARMACIA
613,87075,CURSO_UTPL-TN0014_18,AFFINITY-PROPAGATION,164,NUTRICIÓN Y DIETÉTICA ,ENFERMERÍA
