,id_materia,codigo,metodo,cluster,asignatura,titulacion
253,29718,CURSO_PRE-TNIIA087_18,HIERARCHY,12,GESTIÓN PRODUCTIVA 4.1,INGENIERO EN ALIMENTOS
254,29727,CURSO_PRE-TNABF057_18,HIERARCHY,32,PROYECTO DE FIN  DE CARRERA 4.2,ADMINISTRACIÓN EN BANCA Y FINANZAS
255,30019,CURSO_UTPL-TNAE003_18,HIERARCHY,152,INTRODUCCIÓN A LA ECONOMÍA,ADMINISTRACIÓN EN BANCA Y FINANZAS
256,30588,CURSO_UTPL-TNEC004_18,HIERARCHY,506,ESTADÍSTICA I,ADMINISTRACIÓN EN BANCA Y FINANZAS
257,31251,CURSO_PRE-TNABF065_18,HIERARCHY,160,SISTEMAS FINANCIEROS Y MERCADO DE CAPITALES,ADMINISTRACIÓN EN BANCA Y FINANZAS
258,31260,CURSO_UTPL-TN-ABF008_18,HIERARCHY,512,ADMINISTRACIÓN DE CRÉDITO I,ADMINISTRACIÓN EN BANCA Y FINANZAS
259,31269,CURSO_UTPL-TNICA003_18,HIERARCHY,131,LEGISLACIÓN LABORAL Y SOCIAL,ADMINISTRACIÓN EN BANCA Y FINANZAS
260,31619,CURSO_UTPL-TN-ABF014_18,HIERARCHY,518,ADMINISTRACIÓN ESTRATÉGICA,ADMINISTRACIÓN EN BANCA Y FINANZAS
261,32013,CURSO_UTPL-TNAE006_18,HIERARCHY,410,MICROECONOMÍA,ADMINISTRACIÓN EN BANCA Y FINANZAS
262,32458,CURSO_PRE-TNABF068_18,HIERARCHY,12,GESTIÓN PRODUCTIVA 4.1,ADMINISTRACIÓN EN BANCA Y FINANZAS
263,32467,CURSO_UTPL-TNICA008_18,HIERARCHY,130,LEGISLACIÓN Y PRÁCTICA TRIBUTARIA,ADMINISTRACIÓN EN BANCA Y FINANZAS
264,32900,CURSO_UTPL-TN-ABF013_18,HIERARCHY,361,COMERCIO EXTERIOR,ADMINISTRACIÓN EN BANCA Y FINANZAS
265,32909,CURSO_UTPL-TN-ABF003_18,HIERARCHY,132,LEGISLACIÓN MONETARIA Y BANCARIA,ADMINISTRACIÓN EN BANCA Y FINANZAS
266,33232,CURSO_UTPL-TNAE016_18,HIERARCHY,183,MARKETING,ADMINISTRACIÓN EN BANCA Y FINANZAS
