,id_materia,codigo,metodo,cluster,asignatura,titulacion
1107,249056,CURSO_PRE-TNIQ105_20,HIERARCHY,2,PRODUCTIVE MANAGEMENT GP 3.2,INGENIERÍA QUÍMICA
1108,249265,CURSO_PRE-TNIQ099_20,HIERARCHY,280,SOLID HANDLING,INGENIERÍA QUÍMICA
1109,249812,CURSO_PRE-TNIQ095_20,HIERARCHY,8,PRODUCTIVE MANAGEMENT GP 2.2,INGENIERÍA QUÍMICA
1110,250039,CURSO_PRE-TNIQ114_20,HIERARCHY,61,BUSINESS AND QUALITY MANAGEMENT,INGENIERÍA QUÍMICA
1111,250334,CURSO_PRE-TNIQ113_20,HIERARCHY,28,END OF CAREER GP 4.2 PROJECT,INGENIERÍA QUÍMICA
1112,250575,CURSO_PRE-TNIQ219_20,HIERARCHY,62,SOLID WASTE MANAGEMENT,INGENIERÍA QUÍMICA
1113,250946,CURSO_PRE-TNIQ218_20,HIERARCHY,283,DEVELOPMENT AND APPLICATION OF CATALYSTS,INGENIERÍA QUÍMICA
1114,251257,CURSO_PRE-TNIQ067_20,HIERARCHY,221,SIMULATION AND PROCESS CONTROL,INGENIERÍA QUÍMICA
1115,251464,CURSO_PRE-TNIQ098_20,HIERARCHY,135,CHEMICAL KINETICS AND CHEMICAL REACTIONS ENGINEERING,INGENIERÍA QUÍMICA
1116,251989,CURSO_PRE-TNIQ097_20,HIERARCHY,230,CHEMICAL AND INSTRUMENTAL ANALYSIS,INGENIERÍA QUÍMICA
1117,252380,CURSO_PRE-TNIQ013_20,HIERARCHY,123,INORGANIC CHEMISTRY,INGENIERÍA QUÍMICA
1118,253159,CURSO_PRE-TNIQ108_20,HIERARCHY,217,POLYMER AND OIL TECHNOLOGY,INGENIERÍA QUÍMICA
1119,253445,CURSO_PRE-TNII020_20,HIERARCHY,311,INVESTIGATION OF OPERATIONS II,INGENIERÍA INDUSTRIAL
1120,253928,CURSO_PRE-TNII026_20,HIERARCHY,1,PRODUCTIVE MANAGEMENT 3.2,INGENIERÍA INDUSTRIAL
1121,253937,CURSO_PRE-TNII001_20,HIERARCHY,201,COMPUTER PROGRAMMING,INGENIERÍA INDUSTRIAL
1122,254410,CURSO_PRE-TNII015_20,HIERARCHY,130,DESIGN ASSISTED BY COMPUTER,INGENIERÍA INDUSTRIAL
1123,254618,CURSO_PRE-TNII018_20,HIERARCHY,223,INDUSTRIAL ELECTRONICS,INGENIERÍA INDUSTRIAL
1124,254831,CURSO_PRE-TNII028_20,HIERARCHY,62,ENVIRONMENTAL MANAGEMENT,INGENIERÍA INDUSTRIAL
